vdd,V(vout),Id(M1)
4.309999999999953e+000,1.669109e+000,2.640890e-004
4.319999999999952e+000,1.678366e+000,2.641633e-004
4.329999999999952e+000,1.687626e+000,2.642373e-004
4.339999999999952e+000,1.696889e+000,2.643110e-004
4.349999999999952e+000,1.706155e+000,2.643844e-004
4.359999999999952e+000,1.715424e+000,2.644575e-004
4.369999999999951e+000,1.724696e+000,2.645304e-004
4.379999999999951e+000,1.733970e+000,2.646029e-004
4.389999999999951e+000,1.743248e+000,2.646752e-004
4.399999999999951e+000,1.752528e+000,2.647472e-004
4.409999999999950e+000,1.761810e+000,2.648189e-004
4.419999999999950e+000,1.771096e+000,2.648903e-004
4.429999999999950e+000,1.780384e+000,2.649615e-004
4.439999999999950e+000,1.789675e+000,2.650324e-004
4.449999999999950e+000,1.798969e+000,2.651031e-004
4.459999999999949e+000,1.808265e+000,2.651734e-004
4.469999999999949e+000,1.817563e+000,2.652436e-004
4.479999999999949e+000,1.826865e+000,2.653135e-004
4.489999999999949e+000,1.836168e+000,2.653831e-004
4.499999999999949e+000,1.845475e+000,2.654525e-004
4.509999999999948e+000,1.854783e+000,2.655216e-004
4.519999999999948e+000,1.864094e+000,2.655905e-004
4.529999999999948e+000,1.873408e+000,2.656592e-004
4.539999999999948e+000,1.882724e+000,2.657276e-004
4.549999999999947e+000,1.892042e+000,2.657958e-004
4.559999999999947e+000,1.901362e+000,2.658637e-004
4.569999999999947e+000,1.910685e+000,2.659314e-004
4.579999999999947e+000,1.920010e+000,2.659989e-004
4.589999999999947e+000,1.929338e+000,2.660662e-004
4.599999999999946e+000,1.938667e+000,2.661332e-004
4.609999999999946e+000,1.947999e+000,2.662000e-004
4.619999999999946e+000,1.957333e+000,2.662666e-004
4.629999999999946e+000,1.966669e+000,2.663330e-004
4.639999999999946e+000,1.976007e+000,2.663992e-004
4.649999999999945e+000,1.985348e+000,2.664652e-004
4.659999999999945e+000,1.994690e+000,2.665309e-004
4.669999999999945e+000,2.004035e+000,2.665964e-004
4.679999999999945e+000,2.013382e+000,2.666618e-004
4.689999999999944e+000,2.022730e+000,2.667269e-004
4.699999999999944e+000,2.032081e+000,2.667918e-004
4.709999999999944e+000,2.041434e+000,2.668566e-004
4.719999999999944e+000,2.050789e+000,2.669211e-004
4.729999999999944e+000,2.060145e+000,2.669854e-004
4.739999999999943e+000,2.069504e+000,2.670496e-004
4.749999999999943e+000,2.078864e+000,2.671135e-004
4.759999999999943e+000,2.088227e+000,2.671773e-004
4.769999999999943e+000,2.097591e+000,2.672408e-004
4.779999999999943e+000,2.106957e+000,2.673042e-004
4.789999999999942e+000,2.116326e+000,2.673674e-004
4.799999999999942e+000,2.125696e+000,2.674304e-004
4.809999999999942e+000,2.135067e+000,2.674932e-004
4.819999999999942e+000,2.144441e+000,2.675558e-004
4.829999999999942e+000,2.153816e+000,2.676183e-004
4.839999999999941e+000,2.163193e+000,2.676806e-004
4.849999999999941e+000,2.172573e+000,2.677427e-004
4.859999999999941e+000,2.181953e+000,2.678046e-004
4.869999999999941e+000,2.191336e+000,2.678664e-004
4.879999999999940e+000,2.200720e+000,2.679280e-004
4.889999999999940e+000,2.210106e+000,2.679894e-004
4.899999999999940e+000,2.219493e+000,2.680506e-004
4.909999999999940e+000,2.228882e+000,2.681117e-004
4.919999999999940e+000,2.238273e+000,2.681726e-004
4.929999999999939e+000,2.247666e+000,2.682334e-004
4.939999999999939e+000,2.257060e+000,2.682940e-004
4.949999999999939e+000,2.266456e+000,2.683544e-004
4.959999999999939e+000,2.275853e+000,2.684147e-004
4.969999999999939e+000,2.285252e+000,2.684748e-004
4.979999999999938e+000,2.294652e+000,2.685347e-004
4.989999999999938e+000,2.304054e+000,2.685945e-004
5.000000000000000e+000,2.313458e+000,2.686541e-004
